VALOR,VIGENCIADESDE,VIGENCIAHASTA
2524.76,18/07/2002,18/07/2002
2538.47,19/07/2002,19/07/2002
2529.57,20/07/2002,22/07/2002
2517.42,23/07/2002,23/07/2002
2539.00,24/07/2002,24/07/2002
2572.42,25/07/2002,25/07/2002
2580.15,26/07/2002,26/07/2002
2596.26,27/07/2002,29/07/2002
2599.57,30/07/2002,30/07/2002
2625.06,31/07/2002,31/07/2002
2636.30,01/08/2002,01/08/2002
2640.35,02/08/2002,02/08/2002
2643.03,03/08/2002,05/08/2002
2663.81,06/08/2002,06/08/2002
2670.61,07/08/2002,08/08/2002
2686.54,27/02/2004,27/02/2004
2682.34,28/02/2004,01/03/2004
2662.81,02/03/2004,02/03/2004
2660.42,03/03/2004,03/03/2004
2670.97,04/03/2004,04/03/2004
2676.41,05/03/2004,05/03/2004
2673.29,06/03/2004,08/03/2004
2675.65,09/03/2004,09/03/2004
2679.22,10/03/2004,10/03/2004
2685.17,11/03/2004,11/03/2004
2683.08,12/03/2004,12/03/2004
2669.48,13/03/2004,15/03/2004
2661.45,16/03/2004,16/03/2004
2648.97,17/03/2004,17/03/2004
2650.21,18/03/2004,18/03/2004
2669.07,19/03/2004,19/03/2004
2669.39,20/03/2004,23/03/2004
2664.50,24/03/2004,24/03/2004
2667.05,25/03/2004,25/03/2004
2679.33,26/03/2004,26/03/2004
2673.68,27/03/2004,29/03/2004
2676.93,30/03/2004,30/03/2004
2678.16,31/03/2004,31/03/2004
2682.09,01/04/2004,01/04/2004
2671.01,02/04/2004,02/04/2004
2666.55,03/04/2004,05/04/2004
